FID_,band1_ndvi,band2_gndvi,band3_evi,band4_savi,tons_area
275,0.814122677,0.713888526,0.598908782,0.563175142,10.88
276,0.80456531,0.709379852,0.560853779,0.530198455,0
277,0.826229393,0.730873644,0.582448483,0.55069524,0
278,0.81348902,0.725160897,0.594781756,0.561382771,8.29
279,0.818102658,0.722367465,0.616819263,0.551166415,10.94
280,0.763560534,0.694441199,0.503823459,0.490140438,0
281,0.834716558,0.735680342,0.630894482,0.577723503,9.8
282,0.826126397,0.739094079,0.606327832,0.565757215,0
283,0.840522826,0.741008818,0.648360252,0.599552691,9.48
284,0.849604905,0.764484763,0.652119577,0.606732309,0
285,0.861343622,0.761977315,0.70248431,0.63529706,11.8
286,0.831174552,0.71845603,0.627883017,0.585805535,0
287,0.840675831,0.740284264,0.649760425,0.599656224,13.39
288,0.76444453,0.7016958,0.458167523,0.452788055,0
289,0.822431684,0.725191832,0.609504819,0.571281135,8.12
290,0.819266975,0.742671609,0.584161222,0.542270839,5.63
291,0.84198302,0.741499126,0.656067133,0.604142427,0
292,0.791938663,0.699527681,0.555682003,0.52865243,8.21
293,0.803860188,0.72555685,0.533003688,0.508733988,10.27
294,0.799572051,0.70431143,0.570318103,0.542977631,5.91
295,0.807901859,0.721685648,0.573073566,0.539712131,8.05
296,0.791634679,0.711416066,0.575568557,0.544634879,7.43
297,0.832095444,0.729928076,0.62833184,0.586551011,0
298,0.79008925,0.714422047,0.529657245,0.503592372,0
299,0.869236588,0.767636418,0.716332495,0.648837626,16.41
300,0.809908032,0.721825182,0.570721686,0.53808254,9.79
301,0.814742744,0.721682489,0.604168952,0.562020957,8
302,0.85842669,0.748074353,0.694924414,0.634493053,13.57
303,0.840991914,0.761803091,0.605938733,0.568206906,6.96
304,0.807061791,0.718146145,0.575089097,0.547924161,0
305,0.788280129,0.70654434,0.548153579,0.533218741,7.6
306,0.862707138,0.760769367,0.715077817,0.646171451,0
307,0.803599775,0.704905808,0.563122749,0.536809683,8.25
